"","Driver","Track","Name","Pts"
"1","Ricky Stenhouse Jr.","Daytona International Speedway","DAYTONA 500",48
"2","Joey Logano","Daytona International Speedway","DAYTONA 500",42
"3","Christopher Bell","Daytona International Speedway","DAYTONA 500",35
"4","Chris Buescher","Daytona International Speedway","DAYTONA 500",43
"5","Alex Bowman","Daytona International Speedway","DAYTONA 500",41
"6","A.J. Allmendinger","Daytona International Speedway","DAYTONA 500",34
"7","Daniel Suarez","Daytona International Speedway","DAYTONA 500",30
"8","Ryan Blaney","Daytona International Speedway","DAYTONA 500",29
"9","Ross Chastain","Daytona International Speedway","DAYTONA 500",38
"10","Riley Herbst","Daytona International Speedway","DAYTONA 500",0
"11","Travis Pastrana","Daytona International Speedway","DAYTONA 500",26
"12","Kevin Harvick","Daytona International Speedway","DAYTONA 500",32
"13","Zane Smith","Daytona International Speedway","DAYTONA 500",0
"14","Cody Ware","Daytona International Speedway","DAYTONA 500",23
"15","Martin Truex Jr.","Daytona International Speedway","DAYTONA 500",29
"16","Corey LaJoie","Daytona International Speedway","DAYTONA 500",21
"17","Denny Hamlin","Daytona International Speedway","DAYTONA 500",20
"18","Kyle Larson","Daytona International Speedway","DAYTONA 500",19
"19","Kyle Busch","Daytona International Speedway","DAYTONA 500",18
"20","Bubba Wallace","Daytona International Speedway","DAYTONA 500",17
"21","Aric Almirola","Daytona International Speedway","DAYTONA 500",19
"22","Brad Keselowski","Daytona International Speedway","DAYTONA 500",25
"23","Austin Cindric","Daytona International Speedway","DAYTONA 500",20
"24","Noah Gragson","Daytona International Speedway","DAYTONA 500",13
"25","Ty Gibbs","Daytona International Speedway","DAYTONA 500",17
"26","Harrison Burton","Daytona International Speedway","DAYTONA 500",11
"27","Todd Gilliland","Daytona International Speedway","DAYTONA 500",11
"28","Michael McDowell","Daytona International Speedway","DAYTONA 500",15
"29","Conor Daly","Daytona International Speedway","DAYTONA 500",0
"30","B.J. McLeod","Daytona International Speedway","DAYTONA 500",7
"31","Jimmie Johnson","Daytona International Speedway","DAYTONA 500",10
"32","Justin Haley","Daytona International Speedway","DAYTONA 500",5
"33","Austin Dillon","Daytona International Speedway","DAYTONA 500",4
"34","William Byron","Daytona International Speedway","DAYTONA 500",7
"35","Chase Briscoe","Daytona International Speedway","DAYTONA 500",2
"36","Ryan Preece","Daytona International Speedway","DAYTONA 500",10
"37","Erik Jones","Daytona International Speedway","DAYTONA 500",1
"38","Chase Elliott","Daytona International Speedway","DAYTONA 500",1
"39","Tyler Reddick","Daytona International Speedway","DAYTONA 500",1
"40","Ty Dillon","Daytona International Speedway","DAYTONA 500",1
"41","Kyle Busch","Auto Club Speedway","Pala Casino 400",49
"42","Chase Elliott","Auto Club Speedway","Pala Casino 400",40
"43","Ross Chastain","Auto Club Speedway","Pala Casino 400",54
"44","Daniel Suarez","Auto Club Speedway","Pala Casino 400",47
"45","Kevin Harvick","Auto Club Speedway","Pala Casino 400",42
"46","Denny Hamlin","Auto Club Speedway","Pala Casino 400",42
"47","Brad Keselowski","Auto Club Speedway","Pala Casino 400",32
"48","Alex Bowman","Auto Club Speedway","Pala Casino 400",39
"49","Austin Dillon","Auto Club Speedway","Pala Casino 400",28
"50","Joey Logano","Auto Club Speedway","Pala Casino 400",39
"51","Martin Truex Jr.","Auto Club Speedway","Pala Casino 400",28
"52","Ricky Stenhouse Jr.","Auto Club Speedway","Pala Casino 400",25
"53","Chris Buescher","Auto Club Speedway","Pala Casino 400",24
"54","Corey LaJoie","Auto Club Speedway","Pala Casino 400",24
"55","Harrison Burton","Auto Club Speedway","Pala Casino 400",22
"56","Ty Gibbs","Auto Club Speedway","Pala Casino 400",21
"57","Todd Gilliland","Auto Club Speedway","Pala Casino 400",20
"58","Michael McDowell","Auto Club Speedway","Pala Casino 400",19
"59","Erik Jones","Auto Club Speedway","Pala Casino 400",18
"60","Chase Briscoe","Auto Club Speedway","Pala Casino 400",17
"61","Justin Haley","Auto Club Speedway","Pala Casino 400",16
